datahora,country,estado,municipio,bioma,Latitude,Longitude
9/1/20,Brasil,MARANHAO,SAO RAIMUNDO DAS MANGABEIRAS,Cerrado,-6.948,-45.948
9/1/20,Brasil,MARANHAO,SAO FRANCISCO DO BREJAO,Amazonia,-5.147,-47.342
9/1/20,Brasil,MARANHAO,SENADOR LA ROCQUE,Cerrado,-5.436,-47.27
9/1/20,Brasil,MARANHAO,LORETO,Cerrado,-6.804,-44.986
9/1/20,Brasil,PARA,SAO FELIX DO XINGU,Amazonia,-6.166,-52.135
9/1/20,Brasil,TOCANTINS,ARAGUACEMA,Cerrado,-9.098,-49.576
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.222,-44.632
9/1/20,Brasil,MARANHAO,SENADOR LA ROCQUE,Cerrado,-5.509,-47.381
9/1/20,Brasil,MARANHAO,AMARANTE DO MARANHAO,Cerrado,-5.403,-46.684
9/1/20,Brasil,MARANHAO,SITIO NOVO,Cerrado,-5.889,-46.724
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.221,-44.621
9/1/20,Brasil,MARANHAO,SENADOR LA ROCQUE,Cerrado,-5.52,-47.39
9/1/20,Brasil,PARA,IRITUIA,Amazonia,-1.72,-47.348
9/1/20,Brasil,PARA,IPIXUNA DO PARA,Amazonia,-2.626,-47.501
9/1/20,Brasil,MARANHAO,SENADOR LA ROCQUE,Cerrado,-5.518,-47.375
9/1/20,Brasil,PARA,BANNACH,Amazonia,-7.494,-50.548
9/1/20,Brasil,PARA,CURRALINHO,Amazonia,-1.588,-50.067
9/1/20,Brasil,MARANHAO,FERNANDO FALCAO,Cerrado,-6.307,-45.231
9/1/20,Brasil,MARANHAO,TUNTUM,Cerrado,-6.024,-44.735
9/1/20,Brasil,MARANHAO,MATOES DO NORTE,Cerrado,-3.741,-44.391
9/1/20,Brasil,TOCANTINS,ARAGUACEMA,Cerrado,-9.101,-49.602
9/1/20,Brasil,MARANHAO,AMARANTE DO MARANHAO,Cerrado,-5.406,-46.549
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.225,-44.625
9/1/20,Brasil,TOCANTINS,ARAGUACEMA,Cerrado,-9.1,-49.607
9/1/20,Brasil,MARANHAO,SAO DOMINGOS DO AZEITAO,Cerrado,-6.721,-44.747
