datahora,country,estado,municipio,bioma,Latitude,Longitude
7/1/20,Brasil,RONDONIA,SAO MIGUEL DO GUAPORE,Amazonia,-11.691,-62.591
7/1/20,Brasil,MATO GROSSO,GAUCHA DO NORTE,Amazonia,-12.757,-52.956
7/1/20,Brasil,MATO GROSSO,TANGARA DA SERRA,Cerrado,-14.065,-58.882
7/1/20,Brasil,RONDONIA,CUJUBIM,Amazonia,-9.45,-62.625
7/1/20,Brasil,MATO GROSSO,PLANALTO DA SERRA,Cerrado,-14.461,-54.897
7/1/20,Brasil,RONDONIA,ALTO PARAISO,Amazonia,-9.508,-63.154
7/1/20,Brasil,RONDONIA,SAO MIGUEL DO GUAPORE,Amazonia,-11.662,-62.583
7/1/20,Brasil,MATO GROSSO,PORTO ESPERIDIAO,Amazonia,-16.14,-59.257
7/1/20,Brasil,ACRE,RODRIGUES ALVES,Amazonia,-7.698,-73.071
7/1/20,Brasil,ACRE,MANCIO LIMA,Amazonia,-7.506,-73.043
7/1/20,Brasil,ACRE,MANCIO LIMA,Amazonia,-7.513,-73.038
7/1/20,Brasil,ACRE,RODRIGUES ALVES,Amazonia,-7.687,-73.043
7/1/20,Brasil,ACRE,RODRIGUES ALVES,Amazonia,-7.694,-73.038
7/2/20,Brasil,MARANHAO,BALSAS,Cerrado,-7.866,-46.431
7/2/20,Brasil,MARANHAO,CAROLINA,Cerrado,-7.878,-47.142
7/2/20,Brasil,MARANHAO,CAROLINA,Cerrado,-7.882,-47.146
7/2/20,Brasil,TOCANTINS,PORTO ALEGRE DO TOCANTINS,Cerrado,-11.468,-47.044
7/2/20,Brasil,MATO GROSSO,ALTO BOA VISTA,Cerrado,-11.87,-51.701
7/2/20,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,-11.938,-49.574
7/2/20,Brasil,TOCANTINS,PONTE ALTA DO BOM JESUS,Cerrado,-12.063,-46.521
7/2/20,Brasil,TOCANTINS,CONCEICAO DO TOCANTINS,Cerrado,-12.218,-47.431
7/2/20,Brasil,MATO GROSSO,NOVO SANTO ANTONIO,Cerrado,-12.226,-51.176
7/2/20,Brasil,MATO GROSSO,NOVO SANTO ANTONIO,Cerrado,-12.23,-51.18
7/2/20,Brasil,TOCANTINS,PARANA,Cerrado,-12.564,-47.784
7/2/20,Brasil,TOCANTINS,ARAGUACU,Cerrado,-12.622,-49.535
7/2/20,Brasil,MATO GROSSO,NOVO SANTO ANTONIO,Cerrado,-12.227,-51.186
7/2/20,Brasil,TOCANTINS,ARAGUACU,Cerrado,-12.623,-49.545
7/2/20,Brasil,TOCANTINS,PARANA,Cerrado,-12.663,-48.019
7/2/20,Brasil,MATO GROSSO,NOVA MARINGA,Amazonia,-12.722,-56.881
7/2/20,Brasil,MATO GROSSO,NOVA MARINGA,Amazonia,-12.733,-56.848
7/2/20,Brasil,MATO GROSSO,NOVA MARINGA,Amazonia,-12.736,-56.875
7/2/20,Brasil,MATO GROSSO,NOVA MARINGA,Amazonia,-12.733,-56.852
7/2/20,Brasil,MATO GROSSO,NOVA MARINGA,Amazonia,-12.736,-56.88
7/2/20,Brasil,TOCANTINS,AURORA DO TOCANTINS,Cerrado,-12.749,-46.319
7/2/20,Brasil,TOCANTINS,AURORA DO TOCANTINS,Cerrado,-12.751,-46.33
7/2/20,Brasil,TOCANTINS,LAVANDEIRA,Cerrado,-12.759,-46.318
7/2/20,Brasil,TOCANTINS,PARANA,Cerrado,-13.038,-47.626
7/2/20,Brasil,MATO GROSSO,CANARANA,Cerrado,-13.746,-51.949
7/2/20,Brasil,MATO GROSSO,CAMPINAPOLIS,Cerrado,-14.356,-53.157
7/2/20,Brasil,MATO GROSSO,PARANATINGA,Cerrado,-13.892,-54.079
7/2/20,Brasil,MATO GROSSO,CAMPINAPOLIS,Cerrado,-14.354,-53.142
7/2/20,Brasil,MATO GROSSO,CAMPINAPOLIS,Cerrado,-14.506,-53.171
7/2/20,Brasil,MATO GROSSO,CAMPINAPOLIS,Cerrado,-14.508,-53.176
7/2/20,Brasil,MATO GROSSO,CAMPINAPOLIS,Cerrado,-14.508,-53.187
7/2/20,Brasil,MATO GROSSO,CACERES,Pantanal,-17.126,-57.922
7/2/20,Brasil,MATO GROSSO,CACERES,Pantanal,-17.13,-57.913
7/2/20,Brasil,MATO GROSSO,CACERES,Pantanal,-17.174,-57.832
7/2/20,Brasil,MATO GROSSO,CACERES,Pantanal,-17.143,-57.92
7/2/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-7.777,-55.303
